id,state,district,village,crop_recommended,N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,temperature,humidity,rainfall,latitude,longitude,soil_type,season,year
SHC000001,Punjab,Ludhiana,Village_1,maize,241.91,94.85,74.49,7.68,1.19,1.67,25.0,2.02,10.61,1.3,6.36,0.63,23.1,71.3,628.1,15.8879,78.6245,Black,Rabi,2024
SHC000002,Punjab,Amritsar,Village_2,chickpea,86.28,24.8,43.56,7.45,0.47,0.64,9.91,0.83,5.0,0.47,1.97,0.29,18.9,59.5,558.1,30.4963,73.0276,Alluvial,Rabi,2023
SHC000003,Punjab,Patiala,Village_3,sugarcane,222.31,76.33,166.19,7.6,1.08,1.43,20.93,2.59,15.14,2.56,6.53,1.86,29.4,80.7,896.0,15.9994,72.7927,Alluvial,Zaid,2022
SHC000004,Haryana,Karnal,Village_4,mustard,98.04,32.25,51.18,4.61,0.32,0.8,16.88,0.66,4.43,0.28,1.2,0.64,19.8,51.3,480.4,11.229,88.6841,Alluvial,Kharif,2023
SHC000005,Haryana,Ambala,Village_5,wheat,135.48,25.34,73.01,6.73,0.93,0.59,11.09,1.13,7.75,1.49,4.62,0.76,21.2,73.4,477.9,20.3264,74.3348,Laterite,Rabi,2023
SHC000006,Haryana,Kurukshetra,Village_6,cotton,100.1,49.36,64.1,8.79,1.02,0.97,13.23,0.16,6.69,0.64,2.71,0.69,30.7,68.1,435.5,26.9815,78.5453,Alluvial,Rabi,2023
SHC000007,Uttar Pradesh,Meerut,Village_7,lentil,63.37,19.5,47.37,6.09,0.35,1.19,13.9,0.22,2.86,0.43,0.94,0.23,19.6,76.8,346.4,30.0437,91.152,Alluvial,Zaid,2023
SHC000008,Uttar Pradesh,Agra,Village_8,lentil,87.25,17.42,35.18,8.6,0.45,0.82,8.79,0.8,5.73,0.67,2.45,0.48,26.6,74.5,304.5,26.7862,74.628,Laterite,Rabi,2022
SHC000009,Uttar Pradesh,Muzaffarnagar,Village_9,cotton,115.01,47.29,35.98,6.82,1.41,0.69,10.86,1.12,6.71,0.96,3.07,0.47,25.6,35.7,730.1,12.75,68.5242,Black,Kharif,2024
SHC000010,Maharashtra,Pune,Village_10,lentil,69.76,23.81,65.61,6.14,0.41,0.86,8.18,0.93,3.96,0.11,1.32,0.44,23.5,55.5,390.3,21.4782,84.5881,Laterite,Kharif,2022
SHC000011,Maharashtra,Nagpur,Village_11,banana,230.35,44.77,348.49,5.33,0.8,1.83,23.26,1.56,11.95,0.97,1.05,1.37,28.2,83.3,1990.5,17.6835,75.3707,Black,Rabi,2023
SHC000012,Maharashtra,Aurangabad,Village_12,mustard,72.99,22.33,66.58,7.13,0.35,0.98,16.29,1.01,7.74,1.06,3.01,0.87,22.0,67.3,471.1,17.1259,78.8919,Black,Zaid,2024
SHC000013,Gujarat,Ahmedabad,Village_13,rice,110.58,45.36,133.42,6.06,0.23,0.9,25.0,1.26,9.65,0.49,7.58,1.35,31.8,83.3,1204.5,16.7198,91.0604,Red,Zaid,2023
SHC000014,Gujarat,Vadodara,Village_14,rice,182.1,20.42,186.45,4.53,0.3,0.9,3.1,1.43,10.2,0.95,5.68,0.24,29.2,52.7,576.0,28.4618,68.4174,Black,Kharif,2024
SHC000015,Gujarat,Rajkot,Village_15,rice,228.13,76.08,179.22,6.45,0.21,1.17,8.04,0.79,14.23,1.73,4.61,0.82,30.3,95.0,1561.5,12.3992,70.0465,Red,Rabi,2022
SHC000016,Rajasthan,Jaipur,Village_16,groundnut,73.65,41.08,100.65,5.17,0.44,1.14,20.8,1.65,9.34,0.66,4.89,0.54,25.9,66.7,783.3,24.6929,77.7601,Black,Kharif,2023
SHC000017,Rajasthan,Jodhpur,Village_17,lentil,69.57,10.0,24.57,7.46,0.37,0.78,1.35,1.05,6.81,0.65,1.51,0.34,21.5,41.7,364.4,14.4421,87.7155,Red,Kharif,2024
SHC000018,Rajasthan,Udaipur,Village_18,rice,293.55,67.58,180.84,7.75,0.51,1.3,22.96,1.49,11.39,0.87,7.94,0.66,23.9,95.0,1677.5,29.3726,90.8989,Alluvial,Kharif,2023
SHC000019,West Bengal,Kolkata,Village_19,banana,330.68,66.07,367.21,7.85,0.76,2.75,25.0,1.48,10.09,1.59,12.78,1.92,30.6,95.0,2215.9,17.4559,88.5373,Red,Kharif,2023
SHC000020,West Bengal,Darjeeling,Village_20,lentil,82.39,15.65,16.24,6.51,0.1,1.12,9.41,0.86,4.8,0.53,2.91,0.25,15.7,49.8,346.4,22.266,80.6537,Black,Kharif,2022
SHC000021,Tamil Nadu,Chennai,Village_21,rice,251.2,48.19,183.91,6.58,0.61,1.35,25.0,1.92,16.06,0.89,6.11,1.02,40.9,81.9,1188.1,20.5199,78.2472,Black,Kharif,2022
SHC000022,Tamil Nadu,Coimbatore,Village_22,wheat,122.02,52.28,40.15,6.41,0.32,1.14,6.35,1.04,8.07,0.71,1.83,0.58,26.1,50.8,887.2,30.3874,84.5034,Alluvial,Rabi,2022
SHC000023,Karnataka,Bangalore,Village_23,maize,180.21,60.7,58.25,6.81,0.28,1.16,25.0,1.71,12.13,0.86,2.7,1.38,26.3,56.0,882.7,22.0444,92.7133,Black,Kharif,2023
SHC000024,Karnataka,Mysore,Village_24,groundnut,61.74,41.45,107.37,5.23,0.54,1.32,7.45,0.73,1.88,0.92,5.08,1.25,28.2,83.0,593.0,31.2838,95.5361,Laterite,Rabi,2022
SHC000025,Andhra Pradesh,Hyderabad,Village_25,sugarcane,273.04,74.35,71.63,6.96,0.28,1.77,25.0,1.53,9.94,1.08,5.87,1.58,25.0,84.0,1287.9,12.7793,70.5724,Alluvial,Kharif,2022
SHC000026,Andhra Pradesh,Visakhapatnam,Village_26,maize,184.29,66.38,65.72,7.49,0.64,2.03,25.0,1.31,12.12,1.49,6.05,1.44,30.3,87.2,662.9,22.3442,88.895,Black,Rabi,2024
SHC000027,Punjab,Ludhiana,Village_27,wheat,140.86,44.69,50.55,6.85,0.7,0.31,10.95,0.73,5.63,0.79,1.94,0.47,16.9,54.7,643.6,26.3358,90.886,Alluvial,Rabi,2024
SHC000028,Punjab,Amritsar,Village_28,chickpea,98.21,41.68,53.91,6.0,0.51,0.84,9.13,0.38,4.89,0.1,1.98,0.31,17.0,61.9,395.9,10.373,91.3701,Laterite,Zaid,2022
SHC000029,Punjab,Patiala,Village_29,rice,213.52,39.25,140.44,5.27,0.33,1.23,24.01,0.71,8.3,1.3,1.5,0.96,21.7,80.7,971.0,21.7055,75.0299,Red,Kharif,2023
SHC000030,Haryana,Karnal,Village_30,mustard,34.88,30.11,40.13,5.82,0.1,0.53,1.31,1.4,8.77,0.72,1.39,0.96,12.0,49.9,379.1,30.9696,89.6333,Black,Rabi,2022
SHC000031,Haryana,Ambala,Village_31,lentil,91.32,33.48,40.8,8.22,0.27,1.08,8.64,0.76,5.62,0.64,0.63,0.4,23.2,83.4,400.0,18.1775,81.4177,Black,Kharif,2024
SHC000032,Haryana,Kurukshetra,Village_32,sugarcane,328.06,50.79,94.33,6.63,0.82,1.6,14.7,1.07,8.94,1.87,8.18,1.88,27.9,86.6,1904.0,29.0214,72.1507,Laterite,Rabi,2023
SHC000033,Uttar Pradesh,Meerut,Village_33,mustard,145.94,31.92,56.76,7.11,0.49,1.17,21.78,0.92,8.94,1.18,4.01,1.1,18.5,65.6,326.6,20.4742,95.4712,Laterite,Rabi,2022
SHC000034,Uttar Pradesh,Agra,Village_34,rice,234.8,45.02,82.54,4.5,0.46,0.62,25.0,0.65,4.91,0.97,2.62,0.27,14.5,65.4,552.4,18.2413,89.5832,Black,Kharif,2022
SHC000035,Uttar Pradesh,Muzaffarnagar,Village_35,chickpea,85.04,18.02,31.35,6.24,0.41,0.55,6.67,0.66,2.91,0.46,0.64,0.36,14.7,49.1,252.8,21.9097,96.2907,Alluvial,Kharif,2023
SHC000036,Maharashtra,Pune,Village_36,groundnut,50.17,29.22,61.79,5.3,0.1,1.4,16.02,1.02,1.63,0.57,6.2,0.89,31.5,78.3,649.9,22.2465,83.4992,Alluvial,Rabi,2023
SHC000037,Maharashtra,Nagpur,Village_37,cotton,79.25,32.18,33.75,6.42,1.22,0.21,8.15,0.62,4.97,0.33,1.91,0.41,18.7,36.7,579.7,12.8207,86.9296,Red,Rabi,2024
SHC000038,Maharashtra,Aurangabad,Village_38,wheat,136.09,37.35,75.06,7.79,0.2,0.67,10.31,0.5,9.53,0.43,2.18,0.86,13.0,71.3,317.4,19.0541,84.0094,Black,Kharif,2024
SHC000039,Gujarat,Ahmedabad,Village_39,banana,248.59,49.54,273.14,7.31,1.35,2.14,20.02,1.59,8.56,1.34,3.11,1.78,30.0,88.6,1659.3,8.2969,71.9697,Alluvial,Zaid,2023
SHC000040,Gujarat,Vadodara,Village_40,lentil,77.9,19.41,57.98,7.39,0.34,1.08,6.51,0.24,2.52,0.42,1.82,0.38,19.6,69.0,470.1,33.6313,79.5028,Laterite,Rabi,2023
SHC000041,Gujarat,Rajkot,Village_41,lentil,61.37,20.73,60.6,6.75,0.47,0.66,7.9,1.14,3.06,0.67,2.57,0.24,21.9,71.7,399.7,17.7463,70.6559,Red,Kharif,2022
SHC000042,Rajasthan,Jaipur,Village_42,mustard,60.74,23.05,50.54,7.4,0.67,1.11,21.84,1.41,8.06,0.74,2.62,0.62,15.9,45.5,416.5,11.2541,89.1997,Red,Rabi,2024
